,DATE,Unemployment Rate,Indicator,Year,Month
115,2009-08-01,9.6,High,2009,August
116,2009-09-01,9.8,High,2009,September
117,2009-10-01,10.0,High,2009,October
118,2009-11-01,9.9,High,2009,November
119,2009-12-01,9.9,High,2009,December
120,2010-01-01,9.8,High,2010,January
121,2010-02-01,9.8,High,2010,February
122,2010-03-01,9.9,High,2010,March
123,2010-04-01,9.9,High,2010,April
124,2010-05-01,9.6,High,2010,May
125,2010-06-01,9.4,High,2010,June
126,2010-07-01,9.4,High,2010,July
127,2010-08-01,9.5,High,2010,August
128,2010-09-01,9.5,High,2010,September
129,2010-10-01,9.4,High,2010,October
130,2010-11-01,9.8,High,2010,November
131,2010-12-01,9.3,High,2010,December
132,2011-01-01,9.1,High,2011,January
133,2011-02-01,9.0,High,2011,February
134,2011-03-01,9.0,High,2011,March
135,2011-04-01,9.1,High,2011,April
136,2011-05-01,9.0,High,2011,May
137,2011-06-01,9.1,High,2011,June
138,2011-07-01,9.0,High,2011,July
139,2011-08-01,9.0,High,2011,August
140,2011-09-01,9.0,High,2011,September
141,2011-10-01,8.8,High,2011,October
142,2011-11-01,8.6,High,2011,November
143,2011-12-01,8.5,High,2011,December
144,2012-01-01,8.3,High,2012,January
145,2012-02-01,8.3,High,2012,February
146,2012-03-01,8.2,High,2012,March
147,2012-04-01,8.2,High,2012,April
148,2012-05-01,8.2,High,2012,May
149,2012-06-01,8.2,High,2012,June
150,2012-07-01,8.2,High,2012,July
151,2012-08-01,8.1,High,2012,August
152,2012-09-01,7.8,High,2012,September
153,2012-10-01,7.8,High,2012,October
154,2012-11-01,7.7,High,2012,November
155,2012-12-01,7.9,High,2012,December
156,2013-01-01,8.0,High,2013,January
157,2013-02-01,7.7,High,2013,February
158,2013-03-01,7.5,High,2013,March
159,2013-04-01,7.6,High,2013,April
160,2013-05-01,7.5,High,2013,May
161,2013-06-01,7.5,High,2013,June
162,2013-07-01,7.3,High,2013,July
163,2013-08-01,7.2,High,2013,August
164,2013-09-01,7.2,High,2013,September
165,2013-10-01,7.2,High,2013,October
166,2013-11-01,6.9,High,2013,November
167,2013-12-01,6.7,High,2013,December
168,2014-01-01,6.6,High,2014,January
169,2014-02-01,6.7,High,2014,February
170,2014-03-01,6.7,High,2014,March
171,2014-04-01,6.2,High,2014,April
172,2014-05-01,6.3,High,2014,May
173,2014-06-01,6.1,High,2014,June
174,2014-07-01,6.2,High,2014,July
175,2014-08-01,6.1,High,2014,August
176,2014-09-01,5.9,High,2014,September
177,2014-10-01,5.7,High,2014,October
178,2014-11-01,5.8,High,2014,November
179,2014-12-01,5.6,High,2014,December
180,2015-01-01,5.7,High,2015,January
181,2015-02-01,5.5,High,2015,February
182,2015-03-01,5.4,High,2015,March
183,2015-04-01,5.4,High,2015,April
184,2015-05-01,5.6,High,2015,May
185,2015-06-01,5.3,High,2015,June
186,2015-07-01,5.2,High,2015,July
187,2015-08-01,5.1,High,2015,August
188,2015-09-01,5.0,High,2015,September
189,2015-10-01,5.0,High,2015,October
190,2015-11-01,5.1,High,2015,November
191,2015-12-01,5.0,High,2015,December
192,2016-01-01,4.8,Low,2016,January
193,2016-02-01,4.9,Low,2016,February
194,2016-03-01,5.0,High,2016,March
195,2016-04-01,5.1,High,2016,April
196,2016-05-01,4.8,Low,2016,May
197,2016-06-01,4.9,Low,2016,June
198,2016-07-01,4.8,Low,2016,July
199,2016-08-01,4.9,Low,2016,August
200,2016-09-01,5.0,High,2016,September
201,2016-10-01,4.9,Low,2016,October
202,2016-11-01,4.7,Low,2016,November
203,2016-12-01,4.7,Low,2016,December
204,2017-01-01,4.7,Low,2017,January
205,2017-02-01,4.6,Low,2017,February
206,2017-03-01,4.4,Low,2017,March
207,2017-04-01,4.4,Low,2017,April
208,2017-05-01,4.4,Low,2017,May
209,2017-06-01,4.3,Low,2017,June
210,2017-07-01,4.3,Low,2017,July
211,2017-08-01,4.4,Low,2017,August
212,2017-09-01,4.3,Low,2017,September
213,2017-10-01,4.2,Low,2017,October
214,2017-11-01,4.2,Low,2017,November
215,2017-12-01,4.1,Low,2017,December
216,2018-01-01,4.0,Low,2018,January
